distance,nmer_name,Uind_md,Udf,Unb,Ues,Uind_sapt,ind20_fit,dhf_fit,time_per_system
15.03,2mer-0+300,-5.819861696610198e-05,2.7626395397494757e-05,0.01979401059669566,0.01979401059669566,-9.543e-05,-5.819861696610198e-05,3.5257007941427773e-07,0.1544460172106506
15.047,2mer-0+204,-9.085171152229781e-05,3.7252405536142904e-05,0.012359390486940772,0.012359390486940772,-0.0001312,-9.085171152229781e-05,5.756941241396419e-07,0.1544460172106506
15.05,2mer-0+282,-0.00015018955253861418,6.1031228921411143e-05,-0.008657483559815563,-0.008657483559815563,-0.00016127,-0.00015018955253861418,2.0860682681058595e-06,0.1544460172106506
15.126,2mer-0+230,-5.553743217149139e-05,2.1393984523685653e-05,0.003126145171279847,0.003126145171279847,-0.00012519,-5.553743217149139e-05,2.0014177251768588e-07,0.1544460172106506
15.143,2mer-0+379,-0.0002747322554487101,0.00013796565806325155,0.03628785017438556,0.03628785017438556,-0.00024678,-0.0002747322554487101,6.013310796828368e-07,0.1544460172106506
15.155,2mer-0+345,-0.00012924163976564697,6.129533649331244e-05,0.022812358512960207,0.022812358512960207,-0.00016989,-0.00012924163976564697,6.964551152940841e-07,0.1544460172106506
15.176,2mer-0+214,-7.924114303664349e-05,3.178799846695739e-05,0.010382789058331747,0.010382789058331747,-0.00012696,-7.924114303664349e-05,7.054108163780295e-07,0.1544460172106506
15.182,2mer-0+271,-7.763417961508176e-05,3.40533927223627e-05,0.028515237933339238,0.028515237933339238,-0.00013679,-7.763417961508176e-05,2.6903228072661493e-06,0.1544460172106506
15.193,2mer-0+264,-5.205603455669214e-05,2.92839051374989e-05,0.010391745202439701,0.010391745202439701,-9.775e-05,-5.205603455669214e-05,1.5470841036502494e-06,0.1544460172106506
15.308,2mer-0+327,-9.231047143721202e-05,3.953475852947692e-05,0.014880188351416508,0.014880188351416508,-0.00013425,-9.231047143721202e-05,7.339343075299543e-07,0.1544460172106506
15.328,2mer-0+303,-5.226610101291671e-05,2.60708364159863e-05,0.020304010964204082,0.020304010964204082,-8.916e-05,-5.226610101291671e-05,5.25632468110872e-07,0.1544460172106506
15.356,2mer-0+257,-5.759924828078231e-05,2.4866109456784577e-05,-0.01884256971104923,-0.01884256971104923,-0.00010874,-5.759924828078231e-05,6.8578150402637e-07,0.1544460172106506
15.358,2mer-0+277,-9.079100011827563e-05,4.347983589004171e-05,0.009893718113914035,0.009893718113914035,-0.00013549,-9.079100011827563e-05,8.81758544004652e-07,0.1544460172106506
15.382,2mer-0+202,-6.445124584113796e-05,2.5451836202272167e-05,0.004977963734984164,0.004977963734984164,-0.00011784,-6.445124584113796e-05,5.327194925982874e-07,0.1544460172106506
