N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+124,0.03145064,2,0.03145064,-84.72983113,8.864198e-05,15.2170,11.8680,11.868
2mer-0+158,-0.07972726,2,-0.07972726,-84.80955839,8.846228e-05,14.7660,11.8760,11.876
2mer-0+144,-0.15444394,2,-0.15444394,-84.96400233,8.659063e-05,15.0720,11.9610,11.961
2mer-0+132,0.03591469,2,0.03591469,-84.92808764,8.620396e-05,15.2050,11.9790,11.979
2mer-0+156,-0.07063405,2,-0.07063405,-84.99872169,8.594258e-05,15.8590,11.9910,11.991
2mer-0+161,-0.07299553,2,-0.07299553,-85.07171722,8.500215e-05,15.0720,12.0350,12.035
2mer-0+165,0.07592209,2,0.07592209,-84.99579513,8.482165e-05,15.7650,12.0440,12.044
2mer-0+101,0.04843778,2,0.04843778,-84.94735735,8.378294e-05,15.2050,12.0930,12.093
2mer-0+167,-0.12236144,2,-0.12236144,-85.06971879,8.272976e-05,13.6120,12.1450,12.145
2mer-0+114,-0.11434584,2,-0.11434584,-85.18406463,8.170633e-05,14.5070,12.1950,12.195
2mer-0+146,0.10283562,2,0.10283562,-85.08122901,8.134488e-05,14.1440,12.2130,12.213
2mer-0+182,0.05349496,2,0.05349496,-85.02773405,8.054844e-05,14.8990,12.2530,12.253
2mer-0+104,0.03523368,2,0.03523368,-84.99250037,8.041339e-05,15.2170,12.2600,12.260
2mer-0+201,-0.10690871,2,-0.10690871,-85.09940908,7.928612e-05,14.9670,12.3180,12.318
2mer-0+211,0.02280677,2,0.02280677,-85.07660231,7.835795e-05,14.8990,12.3660,12.366
2mer-0+176,-0.09609663,2,-0.09609663,-85.17269894,7.761817e-05,14.1570,12.4050,12.405
2mer-0+111,0.03504795,2,0.03504795,-85.13765099,7.751526e-05,14.1820,12.4110,12.411
2mer-0+142,0.05506618,2,0.05506618,-85.08258481,7.664531e-05,15.3110,12.4580,12.458
2mer-0+147,-0.07192285,2,-0.07192285,-85.15450766,7.337733e-05,15.0720,12.6400,12.640
2mer-0+152,-0.11098806,2,-0.11098806,-85.26549572,7.221453e-05,14.8020,12.7070,12.707
2mer-0+203,0.02213189,2,0.02213189,-85.24336383,7.139155e-05,15.5000,12.7560,12.756
2mer-0+149,0.01205585,2,0.01205585,-85.23130798,7.127776e-05,16.3340,12.7630,12.763
2mer-0+197,-0.03574457,2,-0.03574457,-85.26705255,7.042784e-05,15.6230,12.8140,12.814
2mer-0+115,-0.11228005,2,-0.11228005,-85.37933260,6.834107e-05,15.0720,12.9430,12.943
2mer-0+135,-0.12443846,2,-0.12443846,-85.50377106,6.717638e-05,15.6230,13.0180,13.018
