distance,nmer_name,Uind_md,Uind_sapt
19.379,2mer-0+365,-6.320051876938242e-05,-5.755e-05
19.415,2mer-0+373,-9.008448722497381e-05,-0.00011663
19.426,2mer-0+535,-9.984753695177888e-05,-7.69e-05
19.467,2mer-0+386,-0.00010531009482603691,-0.00013678
19.478,2mer-0+482,-6.62729998180443e-05,-6.55e-05
19.542,2mer-0+487,-9.272404457413719e-05,-7.974e-05
19.573,2mer-0+464,-0.00014433510469840944,-0.0001789
19.574,2mer-0+413,-6.474522588524511e-05,-5.922e-05
19.576,2mer-0+758,-4.20383238122929e-05,-2.01e-05
19.622,2mer-0+500,-7.15234592274113e-05,-6.447e-05
19.637,2mer-0+382,-6.49677265461614e-05,-6.119e-05
19.654,2mer-0+383,-0.00011031528177881631,-0.00013286
19.713,2mer-0+412,-0.0001383524561425544,-0.00015366
19.733,2mer-0+430,-0.00016081100582792914,-0.00020512
19.789,2mer-0+393,-0.00013151653134185992,-0.00015898
19.798,2mer-0+437,-9.681692692425563e-05,-9.761e-05
19.874,2mer-0+422,-8.534134081870874e-05,-7.17e-05
19.886,2mer-0+404,-0.00012280784189929906,-0.0001325
19.895,2mer-0+440,-5.132584815670561e-05,-5.127e-05
19.905,2mer-0+613,-7.120171821026604e-05,-5.76e-05
19.94,2mer-0+452,-0.00011250247817604644,-0.00013906
19.951,2mer-0+418,-7.650845135069885e-05,-6.401e-05
19.954,2mer-0+721,-3.724568851635779e-05,-2.913e-05
19.97,2mer-0+644,-4.597080544107375e-05,-2.874e-05
