distance,nmer_name,Uind_md,Udf,Unb,Uind_omm,Udf_omm,Unb_omm
1.805,3mer-0+3+217,-45173459024.86462,2437637477.0967526,-47611096538.01508,-8.15529069482318,10.407695917496767,-54.68732810020447
1.805,3mer-0+3+391,-1306948522398.1924,126519647239.05618,-1433468169673.832,-8.267435412421264,10.551455636010132,-55.47308325767517
1.805,3mer-0+3+202,-514077924307.3954,37031251076.693825,-551109175421.2649,-8.390989009285931,10.710001286124225,-56.348602294921875
1.805,3mer-0+3+321,-33755378668578.707,288626085337.7394,-34044004753952.543,-8.195175052423338,10.458216547231814,-54.8336706161499
1.805,3mer-0+3+24,-3746935091524484.5,24985976522718.36,-3771921068047242.0,-8.44047182867007,10.772626697330907,-56.27689170837402
1.805,3mer-0+3+55,-1.0130262323036258e+17,267545153520539.34,-1.0157016838388307e+17,-8.052599850418574,10.26562601017713,-53.33281707763672
1.805,3mer-0+3+380,-3.649303241395615e+18,2547060148003138.5,-3.6518503015436186e+18,-8.301387712147744,10.594308451029747,-55.582836627960205
1.805,3mer-0+3+234,-440994624423998.06,11129109552373.443,-452123733976407.2,-8.199835799160155,10.465702035007325,-55.03314018249512
1.805,3mer-0+3+499,-93933154117.98466,8395760130.249914,-102328914284.67204,-8.28260999141412,10.56989187778754,-55.361252307891846
1.805,3mer-0+3+430,-11937846784.175962,984744508.6222079,-12922591329.231768,-8.240526727571023,10.516785093412864,-55.2623348236084
1.805,3mer-0+3+324,-116323698608.92972,14700907873.212975,-131024606518.71704,-8.275739894425442,10.562045111144016,-55.48364305496216
1.805,3mer-0+3+455,-420828994141.93506,23633435934.879406,-444462430113.2904,-8.270745909408788,10.555981957717677,-55.374070167541504
1.805,3mer-0+3+86,-5.347199873722858e+18,447788617737985.94,-5.347647662340591e+18,-8.356974875177912,10.660407746587225,-56.03433418273926
1.805,3mer-0+3+65,-549448985109.48846,42462006988.28406,-591910992131.3673,-8.03253382072694,10.237733665845326,-51.9333381652832
1.805,3mer-0+3+70,-61562065714.19525,1511220778.5798733,-63073286530.73256,-8.637306614152294,11.030892925032276,-57.69830513000488
1.805,3mer-0+3+207,-37930829314.173546,2886127993.716609,-40816957344.842865,-8.366397756750757,10.678888898675268,-56.06987166404724
1.805,3mer-0+3+271,-9141113440084.994,24054252363.229065,-9165167692484.887,-8.301440617364278,10.594429829794535,-55.64144253730774
1.805,3mer-0+3+355,-817798301188.8815,11960129676.81624,-829758430902.265,-8.261967724978376,10.545329981625628,-55.44514083862305
1.805,3mer-0+3+285,-7910260565543.542,372026118219.94183,-8282286683799.764,-8.245721743635158,10.522991730638523,-55.11564111709595
1.805,3mer-0+3+414,-151826200169.0158,37335662765.80991,-189161862971.0225,-8.201948115563482,10.466858914160639,-54.93653154373169
1.805,3mer-0+3+260,-36506049021591.22,769504657798.1586,-37275553679425.56,-8.215177209082412,10.484082548913193,-54.96298670768738
1.805,3mer-0+3+300,-6.597134242677173e+16,2.838195008775962e+16,-9.435329251453131e+16,-8.281104685885339,10.569600460904212,-55.591835021972656
1.805,3mer-0+3+201,-523344410610.59375,8063017643.142593,-531407428289.838,-8.206886988537008,10.47263409529478,-54.8513617515564
