N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+313,0.03757496,2,0.03757496,-77.31071129,2.539477e-05,20.2240,18.0030,18.003
2mer-0+395,0.01221196,2,0.01221196,-77.29849933,2.531892e-05,21.0030,18.0210,18.021
2mer-0+595,-0.06321234,1,-0.03160617,-77.33010550,2.515957e-05,21.1540,18.0590,18.059
2mer-0+582,0.00061003,1,0.00030502,-77.32980049,2.514807e-05,20.8040,18.0620,18.062
2mer-0+338,0.00001118,2,0.00001118,-77.32978931,2.507568e-05,21.0500,18.0790,18.079
2mer-0+358,0.01021693,2,0.01021693,-77.31957238,2.485341e-05,21.5960,18.1330,18.133
2mer-0+384,-0.04249088,2,-0.04249088,-77.36206326,2.455929e-05,20.1600,18.2050,18.205
2mer-0+336,-0.04124804,1,-0.02062402,-77.38268728,2.439357e-05,20.0140,18.2460,18.246
2mer-0+515,-0.01353660,1,-0.00676830,-77.38945558,2.434840e-05,20.1070,18.2580,18.258
2mer-0+604,0.03052565,1,0.01526283,-77.37419275,2.429115e-05,20.8180,18.2720,18.272
2mer-0+328,-0.02708290,2,-0.02708290,-77.40127565,2.428905e-05,21.5960,18.2720,18.272
2mer-0+432,-0.01890448,1,-0.00945224,-77.41072789,2.424335e-05,21.4630,18.2840,18.284
2mer-0+451,0.02449210,1,0.01224605,-77.39848184,2.423770e-05,21.5340,18.2850,18.285
2mer-0+480,-0.04907440,1,-0.02453720,-77.42301904,2.419372e-05,20.4450,18.2960,18.296
2mer-0+429,0.02310647,2,0.02310647,-77.39991257,2.412488e-05,20.4350,18.3140,18.314
2mer-0+417,-0.03119359,1,-0.01559680,-77.41550937,2.411980e-05,20.4970,18.3150,18.315
2mer-0+357,0.01841584,1,0.00920792,-77.40630145,2.404369e-05,21.6630,18.3340,18.334
2mer-0+608,0.03734601,1,0.01867300,-77.38762844,2.403688e-05,20.6510,18.3360,18.336
2mer-0+408,0.02425512,1,0.01212756,-77.37550088,2.400054e-05,20.9200,18.3450,18.345
2mer-0+672,0.06089302,1,0.03044651,-77.34505437,2.397762e-05,21.5850,18.3510,18.351
2mer-0+618,-0.01826221,1,-0.00913111,-77.35418548,2.393332e-05,22.0380,18.3630,18.363
2mer-0+491,0.02417374,1,0.01208687,-77.34209861,2.389360e-05,21.4130,18.3730,18.373
2mer-0+375,-0.01101926,1,-0.00550963,-77.34760824,2.388599e-05,21.3670,18.3750,18.375
2mer-0+422,0.02623893,2,0.02623893,-77.32136931,2.370225e-05,21.7400,18.4220,18.422
2mer-0+387,0.01423396,1,0.00711698,-77.31425233,2.351499e-05,21.3930,18.4710,18.471
2mer-0+534,-0.01081774,1,-0.00540887,-77.31966120,2.349945e-05,20.4370,18.4750,18.475
2mer-0+550,0.00828780,1,0.00414390,-77.31551730,2.333824e-05,21.1320,18.5170,18.517
2mer-0+496,-0.04218857,1,-0.02109429,-77.33661158,2.310078e-05,21.0220,18.5810,18.581
2mer-0+347,-0.03132021,2,-0.03132021,-77.36793179,2.308171e-05,21.7960,18.5860,18.586
2mer-0+393,0.00264350,2,0.00264350,-77.36528829,2.300015e-05,21.7960,18.6080,18.608
2mer-0+406,-0.00849903,1,-0.00424951,-77.36953781,2.285750e-05,20.5640,18.6460,18.646
2mer-0+342,0.02071155,1,0.01035577,-77.35918203,2.284174e-05,22.6330,18.6510,18.651
2mer-0+411,0.03598839,2,0.03598839,-77.32319364,2.274703e-05,21.3530,18.6760,18.676
2mer-0+379,0.02748914,1,0.01374457,-77.30944907,2.268849e-05,22.0990,18.6920,18.692
2mer-0+506,-0.03390598,1,-0.01695299,-77.32640206,2.267306e-05,21.4480,18.6970,18.697
2mer-0+437,-0.00915646,1,-0.00457823,-77.33098029,2.266865e-05,21.5070,18.6980,18.698
2mer-0+439,-0.05031189,2,-0.05031189,-77.38129218,2.250298e-05,21.5390,18.7440,18.744
2mer-0+349,-0.05026820,2,-0.05026820,-77.43156038,2.239588e-05,21.7400,18.7730,18.773
2mer-0+481,-0.04626248,1,-0.02313124,-77.45469162,2.233417e-05,22.3640,18.7910,18.791
2mer-0+427,-0.05086764,2,-0.05086764,-77.50555926,2.233295e-05,21.0500,18.7910,18.791
2mer-0+345,0.00727783,2,0.00727783,-77.49828143,2.225888e-05,21.7400,18.8120,18.812
2mer-0+586,0.04742749,1,0.02371375,-77.47456769,2.224672e-05,21.0810,18.8150,18.815
2mer-0+362,-0.01221500,1,-0.00610750,-77.48067519,2.224037e-05,21.8600,18.8170,18.817
2mer-0+662,0.05094600,1,0.02547300,-77.45520219,2.217450e-05,21.7700,18.8360,18.836
2mer-0+648,0.02583121,1,0.01291561,-77.44228658,2.217130e-05,20.6100,18.8370,18.837
2mer-0+482,-0.01180726,1,-0.00590363,-77.44819021,2.211291e-05,20.4540,18.8530,18.853
